00 3135
01 2215
02 1598
03 913
04 965
05 340
06 119
07 148
08 241
09 1597
10 4283
11 4799
12 5044
13 3807
14 5143
15 5870
16 6147
17 6594
18 6242
19 6182
20 2762
21 3666
22 3115
23 4004
